Identificador, "Codigo externo do registro", Etapa   , "Data da criacao" , "Momento do ultimo ganho", "Momento da ultima perda", "Na mesma etapa desde", "Codigo - Oferta de curso", "Nome - Oferta de curso", "Identificador da pessoa", "Codigo externo da pessoa", "Nome da pessoa"                , "Nome do responsavel", Atividade    , "E-mail da pessoa"       , "E-mails secundarios", "Telefone da pessoa", "Telefones secundarios", CPF        , "Data de nascimento", "Valor da oportunidade", "Data da atividade", "Forma de ingresso", "Grau de instrucao", "Escola de origem", "Nota do ENEM", "Processo seletivo", Unidade, Modalidade, Status        , "Local da oferta", Canal      , "Resumo atual"  , Objecao, "Observacoes da perda", Endereco, Numero , Bairro , Cidade , UF     , Concorrentes, Probabilidade, "[AE] Situacao de matricula", "Area de Preferencia", "[AE] % de nota geral", "[AE] % de frequencia geral", "[AE] Satisfacao", "[AE] Qtd de lancamentos Vencidos", Matematica, "Portugues ", Literatura, Redacao, Quimica, Fisica, Biologia, Geografia, Historia, Filosofia, Sociologia, Artes, Curso
          232, "- - -"                     , "- - -" , "15/06/2025 22:26", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       255, "- - -"                   , "Aldo Dunas"                    , "- - -"              , "Sem agendar", aldo@email.com           , "- - -"              , +5533988552233      , "- - -"                , 26678865006, 03/06/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         63,           68,         60,      67,      96,     98,       90,        86,       84,        82,         87,    80, Fisioterapia
          231, "- - -"                     , "- - -" , "15/06/2025 22:25", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       254, "- - -"                   , "Aline Dias"                    , "- - -"              , "Sem agendar", aline@email.com          , "- - -"              , 30987744111         , "- - -"                , 79037779042, 05/04/2007          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           87,         63,      76,      98,     90,       88,        74,       76,        73,         80,    84, Fisioterapia
          230, "- - -"                     , "- - -" , "15/06/2025 22:24", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       253, "- - -"                   , "Amanda Soares"                 , "- - -"              , "Sem agendar", amanda@email.com         , "- - -"              , +5533988855663      , "- - -"                , 87634744093, 03/08/2007          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         94,           85,         80,      74,      91,     93,       98,        80,       75,        76,         65,    67, Fisioterapia
          229, "- - -"                     , "- - -" , "15/06/2025 22:23", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       252, "- - -"                   , "Luiza Veiga"                   , "- - -"              , "Sem agendar", luiza@email.com          , "- - -"              , +5538908854768      , "- - -"                , 91561508063, 27/02/2007          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         63,           74,         80,      78,      89,     91,       98,        80,       84,        84,         86,    85, Fisioterapia
          228, "- - -"                     , "- - -" , "15/06/2025 22:21", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       251, "- - -"                   , "Lumen Santana"                 , "- - -"              , "Sem agendar", lu@email.com             , "- - -"              , +5531977445148      , "- - -"                , 24303806099, 09/06/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         93,           95,         94,      97,      98,     92,       91,        97,       85,        84,         81,    83, Medicina
          227, "- - -"                     , "- - -" , "15/06/2025 22:20", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       250, "- - -"                   , "Tina Faria"                    , "- - -"              , "Sem agendar", tina@email.com           , "- - -"              , +5537988641257      , "- - -"                , 89946091054, 29/04/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         69,           80,         92,      84,      80,     96,       97,        88,       85,        84,         74,    71, Medicina
          226, "- - -"                     , "- - -" , "15/06/2025 22:19", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       249, "- - -"                   , "V�nia Cabral"                  , "- - -"              , "Sem agendar", vania@email.com          , "- - -"              , +5537985564701      , "- - -"                , 98653458034, 30/01/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         63,           68,         60,      67,      93,     95,       98,        80,       87,        65,         74,    77, Medicina
          225, "- - -"                     , "- - -" , "15/06/2025 22:16", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       248, "- - -"                   , "Yan Lumes"                     , "- - -"              , "Sem agendar", yan@email.com            , "- - -"              , +5533988447700      , "- - -"                , 73760646050, 14/01/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         63,           68,         64,      66,      88,     89,       95,        63,       65,        64,         78,    77, Enfermagem
          224, "- - -"                     , "- - -" , "15/06/2025 22:14", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       247, "- - -"                   , "Yara Jandira"                  , "- - -"              , "Sem agendar", yara@email.com           , "- - -"              , +5532966666663      , "- - -"                , 16419407001, 31/01/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         90,           80,         87,      81,      84,     96,       98,        80,       87,        65,         63,    68, Enfermagem
          223, "- - -"                     , "- - -" , "15/06/2025 22:13", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       246, "- - -"                   , "Yuri Kakizawa"                 , "- - -"              , "Sem agendar", yuri@email.com           , "- - -"              , 39985807414         , "- - -"                , 50050473018, 17/05/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         63,           74,         80,      78,      89,     88,       93,        85,       74,        74,         71,    63, Enfermagem
          222, "- - -"                     , "- - -" , "15/06/2025 22:12", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       245, "- - -"                   , "Wellington Marques"            , "- - -"              , "Sem agendar", well@email.com           , "- - -"              , +5531974748580      , "- - -"                , 07293066074, 23/07/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         93,           85,         85,      87,      98,     91,       93,        74,       75,        75,         85,    84, Enfermagem
          221, "- - -"                     , "- - -" , "15/06/2025 22:10", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       244, "- - -"                   , "Vitor Rezende"                 , "- - -"              , "Sem agendar", vitor@email.com          , "- - -"              , +5532966335588      , "- - -"                , 41815280069, 15/02/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         91,           85,         87,      86,      96,     92,       91,        80,       87,        84,         81,    65, Odontologia
          220, "- - -"                     , "- - -" , "15/06/2025 22:09", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       243, "- - -"                   , "Vanessa Chagas"                , "- - -"              , "Sem agendar", van@email.com            , "- - -"              , +5534988552233      , "- - -"                , 01536068004, 11/10/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         92,           85,         70,      84,      91,     88,       90,        75,       77,        63,         65,    68, Odontologia
          219, "- - -"                     , "- - -" , "15/06/2025 22:07", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       242, "- - -"                   , "Ulisses Pereira"               , "- - -"              , "Sem agendar", ul@email.com             , "- - -"              , +5531974144477      , "- - -"                , 77575069054, 23/09/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         69,           66,         74,      85,      93,     80,       93,        85,       87,        74,         71,    78, Odontologia
          218, "- - -"                     , "- - -" , "15/06/2025 22:03", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       241, "- - -"                   , "Emily Ara�jo"                  , "- - -"              , "Sem agendar", emi@email.com            , "- - -"              , +5532988665555      , "- - -"                , 24569890075, 17/08/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Sa�de                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         85,           71,         75,      73,      93,     94,       65,        63,       67,        68,         74,    66, Odontologia
          217, "- - -"                     , "- - -" , "15/06/2025 21:29", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       240, "- - -"                   , "Erick Miller"                  , "- - -"              , "Sem agendar", erickmm@email.com        , "- - -"              , +5571995939290      , "- - -"                , 46760331095, 10/05/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         89,           78,         81,      80,      90,     88,       94,        78,       79,        80,         81,    79, Agronomia
          216, "- - -"                     , "- - -" , "15/06/2025 21:26", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       239, "- - -"                   , "Bianca Verdes"                 , "- - -"              , "Sem agendar", biancaverdes@email.com   , "- - -"              , +5547966880033      , "- - -"                , 11677888008, 05/08/2011          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         78,           76,         77,      73,      86,     85,       88,        81,       82,        79,         80,    76, Medicina Veterinária
          215, "- - -"                     , "- - -" , "15/06/2025 21:25", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       238, "- - -"                   , "Vinicius Neves"                , "- - -"              , "Sem agendar", vinineves@email.com      , "- - -"              , +5521945236180      , "- - -"                , 01741842042, 02/01/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           81,         79,      82,      89,     90,       88,        76,       75,        79,         72,    73, Medicina Veterinária
          214, "- - -"                     , "- - -" , "15/06/2025 21:23", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       237, "- - -"                   , "Alo�sio Fernandes"             , "- - -"              , "Sem agendar", aloisiofre@email.com     , "- - -"              , +5528900869352      , "- - -"                , 57188248001, 30/06/2004          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         72,           73,         71,      76,      80,     85,       86,        79,       78,        77,         71,    69, Medicina Veterinária
          213, "- - -"                     , "- - -" , "15/06/2025 21:22", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       236, "- - -"                   , "Daiane Dourado"                , "- - -"              , "Sem agendar", daianed@email.com        , "- - -"              , +5573998054722      , "- - -"                , 35295516008, 17/04/2000          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         65,           63,         59,      61,      78,     79,       80,        57,       60,        61,         62,    60, Medicina Veterinária
          212, "- - -"                     , "- - -" , "15/06/2025 21:21", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       235, "- - -"                   , "Ricardo Ferreira"              , "- - -"              , "Sem agendar", ricfer@email.com         , "- - -"              , +5531965802117      , "- - -"                , 15445382001, 25/08/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         79,           76,         82,      80,      90,     91,       89,        81,       79,        84,         88,    87, Biologia
          211, "- - -"                     , "- - -" , "15/06/2025 21:19", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       234, "- - -"                   , "Bruno Feitosa"                 , "- - -"              , "Sem agendar", bruno.f@email.com        , "- - -"              , +5551999806352      , "- - -"                , 81641480084, 21/08/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         88,           81,         80,      80,      93,     91,       95,        80,       81,        82,         83,    87, Biologia
          210, "- - -"                     , "- - -" , "15/06/2025 21:18", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       233, "- - -"                   , "Laila Barros"                  , "- - -"              , "Sem agendar", lailab@email.com         , "- - -"              , +5538956890321      , "- - -"                , 72697041044, 21/05/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         79,           76,         73,      75,      86,     84,       90,        58,       61,        59,         69,    70, Biologia
          209, "- - -"                     , "- - -" , "15/06/2025 21:17", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       232, "- - -"                   , "Nicole Moura"                  , "- - -"              , "Sem agendar", nicolem@email.com        , "- - -"              , +5511995929391      , "- - -"                , 62614262013, 01/08/2007          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           79,         74,      76,      89,     88,       87,        75,       76,        71,         73,    79, Biologia
          208, "- - -"                     , "- - -" , "15/06/2025 21:06", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       231, "- - -"                   , "Gabriela Louren�o"             , "- - -"              , "Sem agendar", gabrilo@email.com        , "- - -"              , +5515980256399      , "- - -"                , 90755844076, 02/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         98,           90,         91,      90,      86,     74,       75,        89,       80,        82,         91,    90, Ciência de Dados
          207, "- - -"                     , "- - -" , "15/06/2025 21:04", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       230, "- - -"                   , "Alcino Gouveia"                , "- - -"              , "Sem agendar", alcino@email.com         , "- - -"              , +5512998543011      , "- - -"                , 30934601070, 01/05/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         95,           90,         88,      89,      91,     88,       82,        81,       80,        79,         80,    81, Ciência de Dados
          206, "- - -"                     , "- - -" , "15/06/2025 21:03", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       229, "- - -"                   , "Rafael Lange"                  , "- - -"              , "Sem agendar", rafala@email.com         , "- - -"              , +5548998056321      , "- - -"                , 56394850004, 11/01/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         87,           81,         81,      80,      79,     78,       77,        80,       81,        82,         83,    79, Ciência de Dados
          205, "- - -"                     , "- - -" , "15/06/2025 21:02", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       228, "- - -"                   , "Thiago Elias"                  , "- - -"              , "Sem agendar", thiagoeli@email.com      , "- - -"              , +5538952089611      , "- - -"                , 70895891026, 01/03/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         89,           81,         79,      84,      76,     76,       83,        81,       80,        79,         78,    76, Ciência de Dados
          204, "- - -"                     , "- - -" , "15/06/2025 21:00", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       227, "- - -"                   , "Giulia Pontes"                 , "- - -"              , "Sem agendar", giuliap@email.com        , "- - -"              , +5531999526380      , "- - -"                , 59440871024, 27/04/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         91,           75,         73,      76,      58,     52,       67,        90,       82,        83,         78,    80, Sistemas da Informação
          203, "- - -"                     , "- - -" , "15/06/2025 20:59", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       226, "- - -"                   , "Alceu Domingues"               , "- - -"              , "Sem agendar", alceudom@email.com       , "- - -"              , +5511999805247      , "- - -"                , 66437856009, 03/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         89,           87,         82,      81,      83,     85,       79,        78,       76,        65,         88,    81, Sistemas da Informação
          202, "- - -"                     , "- - -" , "15/06/2025 20:58", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       225, "- - -"                   , "Adriana Elias"                 , "- - -"              , "Sem agendar", adrianaeli@email.com     , "- - -"              , +5521966087432      , "- - -"                , 22443560007, 05/12/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         98,           97,         91,      96,      93,     90,       95,        91,       95,        90,         94,    91, Sistemas da Informação
          201, "- - -"                     , "- - -" , "15/06/2025 20:57", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       224, "- - -"                   , "Cleber Barbosa"                , "- - -"              , "Sem agendar", cleberbrb@email.com      , "- - -"              , 9196852407          , "- - -"                , 43623165077, 12/04/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           74,         68,      76,      69,     71,       68,        65,       70,        62,         78,    69, Sistemas da Informação
          200, "- - -"                     , "- - -" , "15/06/2025 20:56", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       223, "- - -"                   , "C�lia Mendon�a"                , "- - -"              , "Sem agendar", celiamm@email.com        , "- - -"              , +5534980524719      , "- - -"                , 97909808097, 19/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         96,           91,         89,      90,      86,     87,       90,        87,       88,        80,         91,    90, Engenharia de Software
          199, "- - -"                     , "- - -" , "15/06/2025 20:54", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       222, "- - -"                   , "Adriano Loni"                  , "- - -"              , "Sem agendar", adrianoloni@email.com    , "- - -"              , 52966870452         , "- - -"                , 02343430012, 04/05/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Tecnologia           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         85,           81,         81,      82,      76,     79,       73,        81,       73,        74,         79,    78, Engenharia de Software
